,id,user,created_at,text,tweetinput,positive,neutral,negative,compound
52,1004496658862731264,ChadatScribe_it,2018-06-06 22:54:00,@liberal_party The #Liberals used #justintrudeau as they knew they had no other chance of getting elected. Ran on h… https://t.co/rX5enHdtlj,@liberal_party the #liberals used #justintrudeau as they knew they had no other chance of getting elected. ran on h… https://t.co/rx5enhdtlj,0.09,0.811,0.099,-0.0516
53,1004493255348645889,CanadasMajority,2018-06-06 22:40:29,Could THIS BE ~THE ACTUAL REASON~ #JustinTrudeau #RalphGoodale &amp; #JodyWilsonRaybould WANT 2get #Guns out of the pos… https://t.co/npvWqj6jHq,could this be ~the actual reason~ #justintrudeau #ralphgoodale &amp; #jodywilsonraybould want 2get #guns out of the pos… https://t.co/npvwqj6jhq,0.071,0.929,0.0,0.0772
54,1004492717353648128,MitchStPierre,2018-06-06 22:38:21,Welcoming French President Emmanuel Macron to Parliament Hill! #cdnpoli #EmmanuelMacron #OttLife #JustinTrudeau https://t.co/uaB08Z7jFn,welcoming french president emmanuel macron to parliament hill! #cdnpoli #emmanuelmacron #ottlife #justintrudeau https://t.co/uab08z7jfn,0.21,0.79,0.0,0.4926
55,1004491845387218944,sillywalker1313,2018-06-06 22:34:53,"RT @CanadasMajority: @manny_ottawa @Lots_Of_Fun_69 @JustinTrudeau RU 1of theGROWING # OF
#Canadians
#Americans
#Journalists
#Commentators
#…","rt @canadasmajority: @manny_ottawa @lots_of_fun_69 @justintrudeau ru 1of thegrowing # of
#canadians
#americans
#journalists
#commentators
#…",0.0,1.0,0.0,0.0
56,1004491833865486337,EJWalters1,2018-06-06 22:34:50,RT @CanadasMajority: BUT *WHAT* this article DOESN'T EMPHASIZE is the OBVIOUS DISGUST #PresidentTrump has for #JustinTrudeau's INCOMPETENT…,rt @canadasmajority: but *what* this article doesn't emphasize is the obvious disgust #presidenttrump has for #justintrudeau's incompetent…,0.0,0.749,0.251,-0.7469
57,1004489805923848193,NYtoFLsteve,2018-06-06 22:26:46,"I made a thing.

Feel free to share.

#trump #maga #idiot #canada #warof1812 #JustinTrudeau https://t.co/M5fWg8DTgL","i made a thing.

feel free to share.

#trump #maga #idiot #canada #warof1812 #justintrudeau https://t.co/m5fwg8dtgl",0.333,0.667,0.0,0.6705
58,1004504077365997568,D_inaba,2018-06-06 23:23:29,"RT @AsteroidCowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃SpiderMan　＃マーベル
https://t.co/sG8HIydGAJ","rt @asteroidcowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃spiderman　＃マーベル
https://t.co/sg8hiydgaj",0.0,1.0,0.0,0.0
59,1004504066452525057,pein_1900,2018-06-06 23:23:26,"RT @MarvelLATAM: Lo que te hace diferente es lo que te vuelve Spider-Man. 
Ve el nuevo #SpiderMan #UnNuevoUniverso ahora - Próximamente en…","rt @marvellatam: lo que te hace diferente es lo que te vuelve spider-man. 
ve el nuevo #spiderman #unnuevouniverso ahora - próximamente en…",0.0,1.0,0.0,0.0
60,1004504057107681280,dimitri_morake,2018-06-06 23:23:24,"RT @o___8: Did this a while ago, but seems relevant to post up now lol. Anyway, gotta draw something more recent soon when I find time. I t…","rt @o___8: did this a while ago, but seems relevant to post up now lol. anyway, gotta draw something more recent soon when i find time. i t…",0.134,0.866,0.0,0.5719
61,1004504047716634625,fontaaa,2018-06-06 23:23:22,"RT @MarvelLATAM: Lo que te hace diferente es lo que te vuelve Spider-Man. 
Ve el nuevo #SpiderMan #UnNuevoUniverso ahora - Próximamente en…","rt @marvellatam: lo que te hace diferente es lo que te vuelve spider-man. 
ve el nuevo #spiderman #unnuevouniverso ahora - próximamente en…",0.0,1.0,0.0,0.0
62,1004504017819484160,Error_it_is__,2018-06-06 23:23:15,"RT @p2MmwArBO3YFHqD: 우주최강 뽀짝이 스파이더맨으로 피포페인팅을 공구합니다. 일단은 선착 10분이고요. 지금 2분 모였습니다. 도안은 이 친구 입니다. 풀페키지 2만원 운포고요. 8분 많은 관심 부탁드립니다.
그냥 막 찔러봐 주세요.…","rt @p2mmwarbo3yfhqd: 우주최강 뽀짝이 스파이더맨으로 피포페인팅을 공구합니다. 일단은 선착 10분이고요. 지금 2분 모였습니다. 도안은 이 친구 입니다. 풀페키지 2만원 운포고요. 8분 많은 관심 부탁드립니다.
그냥 막 찔러봐 주세요.…",0.0,1.0,0.0,0.0
63,1004504015546273793,ManuelSalvman,2018-06-06 23:23:14,"RT @MarvelLATAM: Lo que te hace diferente es lo que te vuelve Spider-Man. 
Ve el nuevo #SpiderMan #UnNuevoUniverso ahora - Próximamente en…","rt @marvellatam: lo que te hace diferente es lo que te vuelve spider-man. 
ve el nuevo #spiderman #unnuevouniverso ahora - próximamente en…",0.0,1.0,0.0,0.0
64,1004503954569351168,fgrabo_rintaro,2018-06-06 23:23:00,"RT @AsteroidCowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃SpiderMan　＃マーベル
https://t.co/sG8HIydGAJ","rt @asteroidcowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃spiderman　＃マーベル
https://t.co/sg8hiydgaj",0.0,1.0,0.0,0.0
65,1004503889377484806,faziglota,2018-06-06 23:22:44,RT @CheyenneYoutube: The art for this movie is out of this world. 👽 #SpiderVerse #Spiderman https://t.co/YWCfKL0HPS,rt @cheyenneyoutube: the art for this movie is out of this world. 👽 #spiderverse #spiderman https://t.co/ywcfkl0hps,0.0,1.0,0.0,0.0
66,1004503868766445568,soudasaburou77,2018-06-06 23:22:39,"RT @AsteroidCowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃SpiderMan　＃マーベル
https://t.co/sG8HIydGAJ","rt @asteroidcowboy: 東映版「スパイダーマン」放映開始40周年を記念し、米マーベルが紹介映像を公開 
＃スパイダーマン　＃スパイダーマッ　＃spiderman　＃マーベル
https://t.co/sg8hiydgaj",0.0,1.0,0.0,0.0
